exchange_symbol,symbol,size_multiplier
XLMUSDT,BUF/P_XLMUSDT,1.0
XMRUSDT,BUF/P_XMRUSDT,1000.0
XRPBUSD,BUF/P_XRPBUSD,10.0
XRPUSDT,BUF/P_XRPUSDT,10.0
XTZUSDT,BUF/P_XTZUSDT,10.0
XVGUSDT,BUF/P_XVGUSDT,1.0
XVSUSDT,BUF/P_XVSUSDT,1.0
YFIIUSDT,BUF/P_YFIIUSDT,1000.0
YFIUSDT,BUF/P_YFIUSDT,1000.0
YGGUSDT,BUF/P_YGGUSDT,1.0
ZECUSDT,BUF/P_ZECUSDT,1000.0
ZENUSDT,BUF/P_ZENUSDT,10.0
ZILUSDT,BUF/P_ZILUSDT,1.0
ZRXUSDT,BUF/P_ZRXUSDT,10.0
BUSD,BUF/S_BUSDUSD,1.0
USDC,BUF/S_USDCUSD,1.0
USDT,BUF/S_USDTUSD,1.0
